,SourceID,Order,EffectType,Value,TargetScope,ApplyTiming,TriggerCondition,TriggerValue,TriggerUsageType
01,BurningBlood,0,Heal,0,Self,OnBattleEnd,None,0,OneShot
02,RingOfTheSnake,0,DrawCard,0,Self,OnBattleStart,None,0,OneShot
03,DivineRight,0,GainEnergy,0,Self,OnBattleStart,None,0,OneShot
04,BoundPhylactery,0,Summon,0,Self,DuringBattle,TurnCountReached,1,Repeat
05,CrackedCore,0,ChannelLightning,0,Self,OnBattleStart,None,0,OneShot
06,BlackBlood,0,Heal,0,Self,OnBattleEnd,None,0,OneShot
07,RingOfTheDrake,0,DrawCard,0,Self,DuringBattle,TurnCountReached,1,Repeat
08,Vajra,0,Buff_AttackUp,0,Self,OnBattleStart,None,0,OneShot
09,OddlySmoothStone,0,Buff_DefenseUp,0,Self,OnBattleStart,None,0,OneShot
10,Anchor,0,Shield,0,Self,DuringBattle,TurnCountReached,1,OneShot
11,Strawberry,0,MaxHPUp,0,Self,OnAcquire,None,0,OneShot
12,Strawberry,1,Heal,0,Self,OnAcquire,None,0,OneShot
13,Lantern,0,GainEnergy,0,Self,DuringBattle,TurnCountReached,1,OneShot
14,CentennialPuzzle,0,DrawCard,0,Self,DuringBattle,StackCountReached,1,OneShot
15,Whetstone,0,UpgradeAttackCard,0,Self,OnAcquire,None,0,OneShot
16,MealTicket,0,Heal,0,Self,InShop,None,0,Repeat
17,BagOfPreparation,0,DrawCard,0,Self,OnBattleStart,None,0,OneShot
18,BronzeScales,0,Thorns,0,Self,OnBattleStart,None,0,OneShot
19,HappyFlower,0,GainEnergy,0,Self,DuringBattle,TurnCountReached,3,Repeat
20,RedSkull,0,Buff_AttackUp,0,Self,DuringBattle,StackCountReached,50,Repeat
21,SneckoSkull,0,PoisonBonus,0,Self,DuringBattle,StackCountReached,1,Repeat
22,BagOfMarbles,0,Debuff_Vulnerable,0,Self,OnBattleStart,None,0,OneShot
23,GremlinHorn,0,GainEnergy,0,Self,DuringBattle,StackCountReached,1,Repeat
24,GremlinHorn,1,DrawCard,0,Self,DuringBattle,StackCountReached,1,Repeat
25,Pear,0,MaxHPUp,0,Self,OnAcquire,None,0,OneShot
26,Pear,1,Heal,0,Self,OnAcquire,None,0,OneShot
27,RedMask,0,Debuff_Vulnerable,0,Self,OnBattleStart,None,0,OneShot
28,PaperKrane,0,VulnerableDefenseBonus,0,Self,DuringBattle,StackCountReached,1,Repeat
29,PaperPharez,0,VulnerableAttackBonus,0,Self,DuringBattle,StackCountReached,1,Repeat
